epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3478,0.93809,1.52669,1.12352,0.99865,1,0.995,0.82273,0.70054,0.71361,0.96172,0.000553058,0.000553058,0.000553058
2,125.801,0.7856,0.76367,0.99513,0.99902,1,0.995,0.83886,0.65828,0.57223,0.92906,0.00109775,0.00109775,0.00109775
3,177.777,0.7744,0.60462,0.9908,0.99916,1,0.995,0.8135,0.67465,0.48579,0.93922,0.00163144,0.00163144,0.00163144
4,232.962,0.75268,0.527,0.98547,0.99928,1,0.995,0.83767,0.66269,0.41781,0.93991,0.00161749,0.00161749,0.00161749
5,288.641,0.73222,0.45476,0.97968,0.99949,1,0.995,0.83441,0.64099,0.37137,0.92038,0.00160099,0.00160099,0.00160099
6,341.504,0.70969,0.43205,0.96233,0.99858,1,0.995,0.84336,0.64178,0.63307,0.91134,0.00158448,0.00158448,0.00158448
7,396.68,0.71922,0.41036,0.96404,0.99954,1,0.995,0.84987,0.62235,0.28261,0.902,0.00156798,0.00156798,0.00156798
8,452.055,0.70242,0.39798,0.96263,0.99935,1,0.995,0.81281,0.6651,0.34741,0.92237,0.00155148,0.00155148,0.00155148
9,507.902,0.69708,0.38812,0.96274,0.9996,1,0.995,0.86089,0.6158,0.30991,0.90019,0.00153497,0.00153497,0.00153497
10,554.423,0.6896,0.3732,0.96293,0.99956,1,0.995,0.84221,0.63029,0.27984,0.90596,0.00151847,0.00151847,0.00151847
11,604.429,0.68003,0.35807,0.95416,0.99938,1,0.995,0.85802,0.60568,0.30641,0.89918,0.00150197,0.00150197,0.00150197
12,638.898,0.6739,0.35382,0.9518,0.9995,1,0.995,0.85857,0.62752,0.27948,0.90619,0.00148546,0.00148546,0.00148546
13,675.076,0.67074,0.34762,0.9523,0.99946,1,0.995,0.87241,0.57015,0.26354,0.88216,0.00146896,0.00146896,0.00146896
14,703.913,0.67797,0.35094,0.95335,0.99952,1,0.995,0.82795,0.63847,0.31378,0.91014,0.00145246,0.00145246,0.00145246
15,731.95,0.67164,0.34849,0.94767,0.9994,1,0.995,0.86371,0.56817,0.28133,0.88012,0.00143595,0.00143595,0.00143595
16,759.62,0.67121,0.34022,0.94393,0.99948,1,0.995,0.87016,0.57552,0.26021,0.88132,0.00141945,0.00141945,0.00141945
17,786.648,0.66611,0.3415,0.94934,0.99942,1,0.995,0.85438,0.63438,0.30559,0.90394,0.00140295,0.00140295,0.00140295
18,816.677,0.65186,0.33416,0.94047,0.99944,1,0.995,0.85572,0.60129,0.28858,0.89184,0.00138644,0.00138644,0.00138644
