epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96797,2.30791,3.52967,2.31482,0.00358,1,0.31059,0.19839,0.93963,2.82954,1.39744,0.00013336,0.00013336,0.00013336
2,12.9482,1.14437,2.78155,1.35993,0.00412,1,0.73752,0.53059,0.69133,2.7484,1.1086,0.000280584,0.000280584,0.000280584
3,16.931,1.04242,1.96872,1.26936,0.00381,1,0.92766,0.63202,0.91993,2.57207,1.36712,0.000424838,0.000424838,0.000424838
4,21.0253,1.07951,1.48207,1.27573,0.00303,1,0.83454,0.53116,0.89169,2.41856,1.21413,0.000566122,0.000566122,0.000566122
5,25.374,1.00362,1.24718,1.22101,0.00301,1,0.80509,0.51421,1.17319,2.5082,1.54431,0.000704434,0.000704434,0.000704434
6,29.3671,0.98768,1.1505,1.19538,0.82616,0.47273,0.92034,0.70848,0.90138,2.13726,1.31558,0.000839776,0.000839776,0.000839776
7,33.3458,0.98368,1.10208,1.19293,0.94346,0.29091,0.73221,0.51962,0.99988,2.31791,1.39498,0.000972148,0.000972148,0.000972148
8,37.3578,0.99199,1.06359,1.18692,0.66242,0.07273,0.18542,0.10521,1.0014,2.40421,1.42836,0.00110155,0.00110155,0.00110155
9,41.6374,0.98565,1.01845,1.19428,0.42188,0.42652,0.36695,0.24078,1.01395,2.48245,1.39806,0.00122798,0.00122798,0.00122798
10,45.6426,0.97016,0.99329,1.15319,0.65737,0.73292,0.66962,0.5084,0.97383,1.73519,1.39295,0.00135144,0.00135144,0.00135144
11,49.5831,0.94313,0.89124,1.13231,0.87859,0.89385,0.94193,0.67981,0.9929,1.48841,1.39987,0.00147193,0.00147193,0.00147193
12,53.4883,0.97918,0.89271,1.17607,0.8161,0.63712,0.73331,0.49311,0.96527,1.76641,1.35445,0.00148546,0.00148546,0.00148546
13,57.4368,0.95803,0.8602,1.15529,0.57807,0.77928,0.65742,0.42907,1.24026,1.59348,1.71309,0.00146896,0.00146896,0.00146896
14,61.3869,0.943,0.7944,1.14766,0.91799,0.70455,0.80094,0.53508,1.12695,1.33366,1.52464,0.00145246,0.00145246,0.00145246
15,66.3978,0.95994,0.78936,1.17043,0.84139,0.87264,0.88672,0.6119,1.07816,1.48469,1.41784,0.00143595,0.00143595,0.00143595
16,73.4286,1.03842,0.77354,1.18133,0.88903,0.79018,0.89933,0.6911,0.97189,1.05829,1.38068,0.00141945,0.00141945,0.00141945
17,80.4249,0.93785,0.74403,1.15507,0.85262,0.82424,0.93955,0.69556,0.95844,0.90045,1.32118,0.00140295,0.00140295,0.00140295
18,87.6761,0.92993,0.70048,1.15051,0.88557,0.95485,0.95092,0.67125,1.02297,0.9143,1.36721,0.00138644,0.00138644,0.00138644
19,95.1581,0.91741,0.66413,1.11338,0.94334,0.94924,0.96075,0.70385,0.99132,1.07333,1.40942,0.00136994,0.00136994,0.00136994
20,102.552,0.92451,0.66673,1.13833,0.92118,0.96086,0.94989,0.72457,0.89156,1.10201,1.29431,0.00135344,0.00135344,0.00135344
