epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2125.88,0.37633,0.23163,0.85935,0.99979,1,0.995,0.96849,0.29771,0.15516,0.82506,0.00143045,0.00143045,0.00143045
45,2171.91,0.37364,0.23193,0.86175,0.99957,1,0.995,0.95369,0.30394,0.15565,0.82587,0.00142495,0.00142495,0.00142495
46,2217.96,0.37494,0.23339,0.86108,0.99982,1,0.995,0.96522,0.29187,0.16149,0.82397,0.00141945,0.00141945,0.00141945
47,2263.72,0.38028,0.23793,0.86294,0.99959,1,0.995,0.95659,0.31638,0.1775,0.82714,0.00141395,0.00141395,0.00141395
48,2310.33,0.38319,0.24214,0.86624,0.99958,1,0.995,0.96362,0.28902,0.17235,0.82264,0.00140845,0.00140845,0.00140845
49,2357.15,0.3663,0.22761,0.85808,0.99947,1,0.995,0.96064,0.29281,0.16729,0.82347,0.00140295,0.00140295,0.00140295
50,2403.04,0.36955,0.22569,0.85769,0.99956,1,0.995,0.9601,0.287,0.15197,0.82296,0.00139745,0.00139745,0.00139745
51,2449.45,0.36963,0.22571,0.86484,0.99964,1,0.995,0.94884,0.3213,0.1701,0.82933,0.00139195,0.00139195,0.00139195
52,2495.13,0.36664,0.23384,0.85771,0.99979,1,0.995,0.96213,0.2861,0.15053,0.82249,0.00138644,0.00138644,0.00138644
53,2541.79,0.36777,0.23562,0.86032,0.99959,1,0.995,0.96346,0.29007,0.15262,0.8237,0.00138094,0.00138094,0.00138094
54,2588.56,0.36438,0.22634,0.85373,1,1,0.995,0.96724,0.29,0.15384,0.82297,0.00137544,0.00137544,0.00137544
55,2634.49,0.36178,0.22809,0.86124,0.99982,1,0.995,0.97288,0.27527,0.1489,0.8206,0.00136994,0.00136994,0.00136994
56,2680.87,0.36803,0.22494,0.85923,0.9996,1,0.995,0.95702,0.30353,0.1655,0.82506,0.00136444,0.00136444,0.00136444
57,2726.89,0.36544,0.22835,0.861,0.99956,1,0.995,0.96436,0.29578,0.1565,0.824,0.00135894,0.00135894,0.00135894
58,2773.21,0.36898,0.22728,0.85898,0.99963,1,0.995,0.96522,0.27557,0.14606,0.82039,0.00135344,0.00135344,0.00135344
59,2820.02,0.36247,0.22361,0.85819,0.9996,1,0.995,0.9632,0.28386,0.14533,0.82161,0.00134794,0.00134794,0.00134794
60,2866.5,0.35166,0.22128,0.85845,0.99962,1,0.995,0.96652,0.28774,0.14289,0.82125,0.00134244,0.00134244,0.00134244
61,2912.92,0.35667,0.22258,0.86338,0.99982,1,0.995,0.96208,0.30189,0.14888,0.82422,0.00133693,0.00133693,0.00133693
62,2958.84,0.35866,0.21985,0.85881,0.99959,1,0.995,0.96572,0.28501,0.15758,0.82291,0.00133143,0.00133143,0.00133143
63,3004.75,0.35544,0.21897,0.85801,0.99957,1,0.995,0.96465,0.28078,0.14644,0.82034,0.00132593,0.00132593,0.00132593
64,3051.78,0.35526,0.21847,0.85962,0.99973,1,0.995,0.97112,0.27903,0.1559,0.82107,0.00132043,0.00132043,0.00132043
