epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3556,0.86549,1.51623,1.02531,0.99909,1,0.995,0.76408,0.79411,0.62965,0.8663,0.000554362,0.000554362,0.000554362
2,166.479,0.79797,0.82942,0.97276,0.99881,1,0.995,0.81976,0.66593,0.53586,0.846,0.00109904,0.00109904,0.00109904
3,207.053,0.7792,0.6314,0.96037,0.99953,1,0.995,0.84719,0.60557,0.34394,0.8039,0.00163271,0.00163271,0.00163271
4,246.54,0.78093,0.55564,0.95742,0.99949,1,0.995,0.84473,0.66274,0.37297,0.82448,0.00161749,0.00161749,0.00161749
5,288.81,0.7237,0.48279,0.93897,0.99956,1,0.995,0.82359,0.70986,0.36876,0.83262,0.00160099,0.00160099,0.00160099
6,332.023,0.72698,0.46003,0.94143,0.99948,1,0.995,0.81682,0.66775,0.30497,0.81121,0.00158448,0.00158448,0.00158448
7,379.851,0.71521,0.42557,0.93726,0.99946,1,0.995,0.86512,0.59581,0.32432,0.80314,0.00156798,0.00156798,0.00156798
8,424.69,0.70734,0.42,0.93018,0.99935,1,0.995,0.85816,0.61123,0.29921,0.80443,0.00155148,0.00155148,0.00155148
9,463.417,0.7018,0.40413,0.93063,0.9996,1,0.995,0.86073,0.60584,0.2686,0.80293,0.00153497,0.00153497,0.00153497
10,502.026,0.69865,0.38733,0.93493,0.99956,1,0.995,0.85276,0.62715,0.25908,0.80618,0.00151847,0.00151847,0.00151847
11,547.222,0.68145,0.38526,0.92515,0.99954,1,0.995,0.85746,0.59226,0.26621,0.79628,0.00150197,0.00150197,0.00150197
12,590.891,0.67735,0.38195,0.92233,0.99946,1,0.995,0.85298,0.61767,0.29998,0.79594,0.00148546,0.00148546,0.00148546
13,638.31,0.67603,0.38047,0.92601,0.99957,1,0.995,0.85249,0.60625,0.2722,0.79077,0.00146896,0.00146896,0.00146896
14,680.773,0.68096,0.36858,0.92221,0.99957,1,0.995,0.86467,0.59501,0.27172,0.79478,0.00145246,0.00145246,0.00145246
15,719.868,0.65843,0.3585,0.91214,0.99945,1,0.995,0.85473,0.5988,0.29311,0.79718,0.00143595,0.00143595,0.00143595
16,759.325,0.67641,0.36579,0.92292,0.99954,1,0.995,0.86479,0.5852,0.25877,0.78654,0.00141945,0.00141945,0.00141945
17,804.917,0.66002,0.3544,0.91628,0.9994,1,0.995,0.86742,0.58813,0.25907,0.78658,0.00140295,0.00140295,0.00140295
18,847.108,0.66191,0.34911,0.91227,0.99947,1,0.995,0.85722,0.59471,0.27983,0.79554,0.00138644,0.00138644,0.00138644
19,887.582,0.64976,0.34115,0.9117,0.99978,1,0.995,0.88057,0.56426,0.27224,0.78451,0.00136994,0.00136994,0.00136994
20,928.538,0.65165,0.34335,0.91095,0.99977,1,0.995,0.87425,0.58047,0.25156,0.79311,0.00135344,0.00135344,0.00135344
21,967.591,0.64787,0.33955,0.90772,0.99955,1,0.995,0.85769,0.59038,0.28587,0.79529,0.00133693,0.00133693,0.00133693
22,1009.19,0.64999,0.33909,0.91039,0.99978,1,0.995,0.86728,0.58744,0.2603,0.79355,0.00132043,0.00132043,0.00132043
23,1053.2,0.64876,0.34688,0.91065,0.99948,1,0.995,0.87124,0.5989,0.2741,0.79379,0.00130393,0.00130393,0.00130393
24,1096.21,0.64668,0.33963,0.91347,0.99938,1,0.995,0.85444,0.63939,0.29473,0.80329,0.00128742,0.00128742,0.00128742
25,1139.94,0.63664,0.32487,0.90591,0.99976,1,0.995,0.8664,0.57516,0.2475,0.79047,0.00127092,0.00127092,0.00127092
26,1178.84,0.64171,0.32742,0.91214,0.99974,1,0.995,0.86818,0.59199,0.23943,0.79066,0.00125442,0.00125442,0.00125442
27,1217.77,0.64549,0.33488,0.90809,0.99979,1,0.995,0.87151,0.57925,0.26959,0.78477,0.00123791,0.00123791,0.00123791
28,1262.49,0.64038,0.32594,0.91136,0.99978,1,0.995,0.87888,0.5632,0.23237,0.78535,0.00122141,0.00122141,0.00122141
29,1305.33,0.64457,0.32624,0.90998,0.9995,1,0.995,0.86244,0.58625,0.23081,0.78557,0.00120491,0.00120491,0.00120491
30,1344.93,0.63987,0.32415,0.91339,0.99955,1,0.995,0.86444,0.60792,0.24997,0.8028,0.0011884,0.0011884,0.0011884
31,1388.41,0.63877,0.32746,0.90952,0.99978,1,0.995,0.8746,0.5563,0.22767,0.78265,0.0011719,0.0011719,0.0011719
32,1427.49,0.62962,0.32109,0.90887,1,1,0.995,0.877,0.59129,0.28332,0.78548,0.0011554,0.0011554,0.0011554
33,1472.8,0.61683,0.31154,0.9049,0.99954,1,0.995,0.87235,0.57187,0.26924,0.78706,0.00113889,0.00113889,0.00113889
34,1519.02,0.62106,0.31096,0.90412,0.99953,1,0.995,0.87708,0.57034,0.26493,0.78473,0.00112239,0.00112239,0.00112239
35,1565.13,0.61281,0.3076,0.89857,0.99978,1,0.995,0.87462,0.55998,0.23738,0.78485,0.00110589,0.00110589,0.00110589
