epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1840.7,0.34478,0.21375,0.84936,0.9996,1,0.995,0.96593,0.28698,0.15717,0.82096,0.000957358,0.000957358,0.000957358
45,1887.16,0.34738,0.2118,0.85549,0.99982,1,0.995,0.96745,0.29095,0.15211,0.82177,0.000940855,0.000940855,0.000940855
46,1925.89,0.34553,0.20571,0.8509,0.99964,1,0.995,0.96147,0.29223,0.15339,0.82346,0.000924352,0.000924352,0.000924352
47,1963.47,0.34776,0.20679,0.85422,0.99979,1,0.995,0.96677,0.27815,0.13882,0.81996,0.000907848,0.000907848,0.000907848
48,2008.68,0.34727,0.2046,0.85459,0.99963,1,0.995,0.96545,0.28524,0.14478,0.82213,0.000891345,0.000891345,0.000891345
49,2046.58,0.3448,0.20719,0.85472,0.99978,1,0.995,0.97068,0.28801,0.1416,0.82159,0.000874842,0.000874842,0.000874842
50,2084.6,0.3383,0.20186,0.85179,0.99981,1,0.995,0.96519,0.28577,0.14845,0.82024,0.000858338,0.000858338,0.000858338
51,2122.53,0.34681,0.206,0.85281,0.99982,1,0.995,0.97267,0.28316,0.15042,0.81971,0.000841835,0.000841835,0.000841835
52,2160.38,0.34132,0.20358,0.85592,0.99982,1,0.995,0.9621,0.29588,0.14628,0.82137,0.000825332,0.000825332,0.000825332
53,2198.88,0.33701,0.19977,0.8536,0.9998,1,0.995,0.96283,0.28909,0.14338,0.82157,0.000808828,0.000808828,0.000808828
54,2237.32,0.33327,0.19882,0.84689,0.9996,1,0.995,0.97365,0.28573,0.14161,0.81941,0.000792325,0.000792325,0.000792325
55,2275.48,0.33579,0.20016,0.84749,0.99963,1,0.995,0.96254,0.29207,0.13506,0.82058,0.000775822,0.000775822,0.000775822
56,2323.8,0.33295,0.19792,0.85578,1,1,0.995,0.96019,0.29612,0.15898,0.82115,0.000759318,0.000759318,0.000759318
57,2376.1,0.33418,0.20376,0.8573,1,1,0.995,0.96852,0.28335,0.14718,0.8196,0.000742815,0.000742815,0.000742815
58,2414.07,0.32867,0.1958,0.85422,0.99962,1,0.995,0.96238,0.28468,0.1435,0.81989,0.000726312,0.000726312,0.000726312
59,2452.36,0.32919,0.19469,0.85157,0.9996,1,0.995,0.97386,0.27898,0.14936,0.81883,0.000709809,0.000709809,0.000709809
60,2499.18,0.33558,0.19588,0.85252,0.99982,1,0.995,0.96514,0.29137,0.15368,0.82083,0.000693305,0.000693305,0.000693305
61,2541.61,0.32737,0.19093,0.85274,0.99955,1,0.995,0.97133,0.28561,0.1432,0.81896,0.000676802,0.000676802,0.000676802
