epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9244,0.93027,1.60834,1.08529,0.99868,1,0.995,0.83593,0.64042,0.64841,0.84096,0.000473356,0.000473356,0.000473356
2,95.4193,0.77694,0.83686,0.9811,0.9969,1,0.995,0.84063,0.64996,0.63195,0.84545,0.000940288,0.000940288,0.000940288
3,132.842,0.76326,0.65476,0.97293,0.96661,1,0.995,0.84158,0.65043,0.5869,0.84888,0.00139779,0.00139779,0.00139779
4,170.961,0.74856,0.52905,0.96534,0.99831,1,0.995,0.83028,0.66437,0.48951,0.86248,0.00138656,0.00138656,0.00138656
5,213.945,0.72459,0.47998,0.95612,0.9995,1,0.995,0.84429,0.63474,0.34355,0.84037,0.00137241,0.00137241,0.00137241
6,279.762,0.70628,0.43721,0.95068,0.99845,1,0.995,0.81321,0.73341,0.41772,0.91317,0.00135826,0.00135826,0.00135826
7,346.294,0.70292,0.41273,0.95031,0.99824,1,0.995,0.82334,0.67253,0.55314,0.86054,0.00134412,0.00134412,0.00134412
8,413.369,0.67987,0.38853,0.93978,0.99947,1,0.995,0.85286,0.62657,0.32665,0.8324,0.00132997,0.00132997,0.00132997
9,480.136,0.68428,0.38494,0.94977,0.99947,1,0.995,0.83799,0.71995,0.37694,0.89451,0.00131582,0.00131582,0.00131582
10,546.959,0.68031,0.37262,0.94384,0.99952,1,0.995,0.86148,0.61901,0.28337,0.82949,0.00130168,0.00130168,0.00130168
11,613.796,0.67628,0.36133,0.93998,0.99938,1,0.995,0.85354,0.62665,0.25742,0.82861,0.00128753,0.00128753,0.00128753
12,680.593,0.66905,0.35386,0.9339,0.9994,1,0.995,0.85534,0.64532,0.27203,0.8453,0.00127338,0.00127338,0.00127338
13,747.084,0.67517,0.36464,0.94483,0.99953,1,0.995,0.84032,0.674,0.31733,0.84689,0.00125923,0.00125923,0.00125923
14,814.503,0.66791,0.3525,0.9375,0.99956,1,0.995,0.84919,0.65956,0.29319,0.84683,0.00124509,0.00124509,0.00124509
15,881.102,0.66248,0.34604,0.93155,0.99954,1,0.995,0.86606,0.6042,0.28462,0.82055,0.00123094,0.00123094,0.00123094
16,948.591,0.65623,0.33788,0.93122,0.99969,1,0.995,0.86648,0.6075,0.24951,0.82112,0.00121679,0.00121679,0.00121679
17,1010.86,0.6557,0.333,0.93003,0.99938,1,0.995,0.86849,0.59738,0.25368,0.8189,0.00120265,0.00120265,0.00120265
18,1062.89,0.6504,0.33527,0.93016,0.99965,1,0.995,0.86726,0.61529,0.2575,0.82372,0.0011885,0.0011885,0.0011885
19,1106.24,0.64647,0.33129,0.93278,0.99954,1,0.995,0.85669,0.62977,0.27752,0.8257,0.00117435,0.00117435,0.00117435
20,1144.69,0.63941,0.32237,0.93057,0.9997,1,0.995,0.86528,0.60719,0.2537,0.82334,0.00116021,0.00116021,0.00116021
21,1183.49,0.64895,0.32082,0.93147,0.99971,1,0.995,0.86532,0.62016,0.25209,0.82119,0.00114606,0.00114606,0.00114606
22,1221.94,0.64784,0.32368,0.92995,0.99947,1,0.995,0.86223,0.61473,0.25644,0.81643,0.00113191,0.00113191,0.00113191
23,1260.49,0.63771,0.31144,0.92751,0.9997,1,0.995,0.86899,0.61827,0.25493,0.8251,0.00111776,0.00111776,0.00111776
24,1298.91,0.64928,0.32191,0.93096,0.99969,1,0.995,0.87106,0.59679,0.2503,0.80961,0.00110362,0.00110362,0.00110362
25,1336.34,0.63649,0.31368,0.92437,0.99965,1,0.995,0.86573,0.62572,0.25938,0.82639,0.00108947,0.00108947,0.00108947
26,1375.04,0.63901,0.30922,0.92467,0.99987,1,0.995,0.85208,0.66251,0.26169,0.83027,0.00107532,0.00107532,0.00107532
27,1413.73,0.63334,0.30865,0.92759,0.99948,1,0.995,0.87373,0.59326,0.24304,0.81136,0.00106118,0.00106118,0.00106118
28,1452.58,0.63542,0.31068,0.92862,0.99987,1,0.995,0.87022,0.61153,0.24504,0.82032,0.00104703,0.00104703,0.00104703
29,1491.01,0.63116,0.30351,0.92415,0.99961,1,0.995,0.85787,0.64393,0.24434,0.83158,0.00103288,0.00103288,0.00103288
30,1529.73,0.63244,0.30493,0.92203,0.99965,1,0.995,0.8704,0.59755,0.25796,0.81553,0.00101873,0.00101873,0.00101873
31,1567.48,0.62079,0.29522,0.92099,0.99935,1,0.995,0.87603,0.58161,0.23271,0.80803,0.00100459,0.00100459,0.00100459
32,1606.16,0.6187,0.29589,0.92149,0.99951,1,0.995,0.85245,0.66527,0.27709,0.83486,0.00099044,0.00099044,0.00099044
33,1644.47,0.62786,0.30066,0.92148,0.99987,1,0.995,0.87249,0.61385,0.23827,0.82657,0.000976293,0.000976293,0.000976293
34,1682.41,0.62257,0.297,0.9244,0.99947,1,0.995,0.86158,0.60332,0.25728,0.81461,0.000962146,0.000962146,0.000962146
35,1720.62,0.62342,0.29599,0.92626,0.99966,1,0.995,0.87279,0.60795,0.26112,0.8161,0.000947999,0.000947999,0.000947999
36,1758.94,0.62432,0.29792,0.92584,0.99973,1,0.995,0.8737,0.59761,0.23,0.81471,0.000933851,0.000933851,0.000933851
37,1797.04,0.63071,0.29608,0.92265,0.99947,1,0.995,0.86596,0.60721,0.24449,0.8183,0.000919704,0.000919704,0.000919704
38,1835.07,0.6196,0.29267,0.91722,0.99981,1,0.995,0.88056,0.57675,0.23056,0.80371,0.000905557,0.000905557,0.000905557
39,1873.57,0.6276,0.29563,0.92222,0.99945,1,0.995,0.86244,0.59955,0.22881,0.81398,0.00089141,0.00089141,0.00089141
40,1912,0.61773,0.29468,0.92061,0.99987,1,0.995,0.87185,0.59738,0.23049,0.81269,0.000877263,0.000877263,0.000877263
41,1949.67,0.61799,0.28924,0.92215,0.99986,1,0.995,0.87169,0.61298,0.24094,0.81624,0.000863116,0.000863116,0.000863116
42,1988.37,0.62141,0.2925,0.92398,0.99987,1,0.995,0.87268,0.60504,0.23879,0.81787,0.000848969,0.000848969,0.000848969
43,2026.92,0.61319,0.29116,0.91943,0.99955,1,0.995,0.86993,0.60352,0.24109,0.82046,0.000834822,0.000834822,0.000834822
44,2064.58,0.6135,0.2852,0.9168,0.99973,1,0.995,0.87919,0.58598,0.23842,0.80982,0.000820675,0.000820675,0.000820675
45,2103.08,0.61683,0.28379,0.92549,0.99954,1,0.995,0.87581,0.59222,0.23146,0.80839,0.000806528,0.000806528,0.000806528
46,2141.46,0.61598,0.28572,0.92374,1,1,0.995,0.88378,0.58545,0.23426,0.80886,0.00079238,0.00079238,0.00079238
47,2178.79,0.61285,0.2794,0.91773,0.99962,1,0.995,0.87794,0.58362,0.22401,0.80729,0.000778233,0.000778233,0.000778233
48,2217.48,0.60685,0.27932,0.9165,0.9998,1,0.995,0.88198,0.57925,0.22992,0.80507,0.000764086,0.000764086,0.000764086
49,2255.92,0.60576,0.28255,0.91495,0.99987,1,0.995,0.88271,0.58433,0.24495,0.81041,0.000749939,0.000749939,0.000749939
50,2293.46,0.60728,0.27842,0.92364,0.9995,1,0.995,0.88423,0.57603,0.22078,0.80513,0.000735792,0.000735792,0.000735792
51,2332.31,0.59584,0.27183,0.91342,0.9997,1,0.995,0.87986,0.59189,0.22498,0.81173,0.000721645,0.000721645,0.000721645
52,2371.4,0.60593,0.27466,0.91296,0.9998,1,0.995,0.87621,0.5876,0.2196,0.80552,0.000707498,0.000707498,0.000707498
53,2410.22,0.60902,0.27337,0.91935,1,1,0.995,0.8791,0.57866,0.2364,0.80346,0.000693351,0.000693351,0.000693351
54,2449.02,0.60533,0.27521,0.91333,0.99967,1,0.995,0.87939,0.57121,0.24282,0.80243,0.000679204,0.000679204,0.000679204
55,2487.51,0.60186,0.27284,0.91651,0.99986,1,0.995,0.87669,0.58688,0.22033,0.8055,0.000665057,0.000665057,0.000665057
56,2526.36,0.60408,0.2727,0.91692,0.99987,1,0.995,0.88209,0.57182,0.21759,0.80507,0.000650909,0.000650909,0.000650909
57,2565.23,0.60329,0.27182,0.91193,0.99987,1,0.995,0.88131,0.58593,0.24482,0.80833,0.000636762,0.000636762,0.000636762
58,2603.58,0.60231,0.26984,0.91427,0.99987,1,0.995,0.87899,0.57194,0.221,0.80281,0.000622615,0.000622615,0.000622615
59,2641.61,0.59435,0.26919,0.9152,0.9997,1,0.995,0.87404,0.57694,0.21962,0.80475,0.000608468,0.000608468,0.000608468
60,2680.21,0.59794,0.27413,0.91756,0.99987,1,0.995,0.87954,0.56879,0.21726,0.80124,0.000594321,0.000594321,0.000594321
61,2718.59,0.60192,0.26874,0.91545,0.99971,1,0.995,0.87889,0.57711,0.23089,0.8104,0.000580174,0.000580174,0.000580174
62,2756.81,0.59623,0.26338,0.91502,0.99987,1,0.995,0.87791,0.58333,0.20656,0.80569,0.000566027,0.000566027,0.000566027
63,2795.93,0.59619,0.26425,0.91316,0.99983,1,0.995,0.87695,0.58827,0.2218,0.80697,0.00055188,0.00055188,0.00055188
64,2834.7,0.59176,0.26164,0.91394,0.99952,1,0.995,0.8692,0.57671,0.21484,0.80223,0.000537733,0.000537733,0.000537733
65,2873.71,0.59538,0.26505,0.91302,0.99968,1,0.995,0.88173,0.58253,0.22189,0.80807,0.000523586,0.000523586,0.000523586
66,2912.62,0.59317,0.26755,0.91252,0.99974,1,0.995,0.879,0.59127,0.2216,0.8066,0.000509438,0.000509438,0.000509438
67,2951.32,0.59828,0.26838,0.91767,0.99987,1,0.995,0.87977,0.58083,0.21029,0.80328,0.000495291,0.000495291,0.000495291
68,2989.84,0.59891,0.26522,0.91355,0.99955,1,0.995,0.87789,0.57393,0.22078,0.80363,0.000481144,0.000481144,0.000481144
69,3027.51,0.58944,0.26261,0.91624,0.99983,1,0.995,0.88472,0.57091,0.21403,0.80063,0.000466997,0.000466997,0.000466997
70,3066.38,0.5925,0.26069,0.91314,1,1,0.995,0.88213,0.56706,0.21203,0.80115,0.00045285,0.00045285,0.00045285
71,3105.12,0.5851,0.25846,0.90833,1,1,0.995,0.88295,0.57435,0.20519,0.80143,0.000438703,0.000438703,0.000438703
72,3142.68,0.58325,0.25927,0.91122,1,1,0.995,0.88603,0.56328,0.20721,0.80071,0.000424556,0.000424556,0.000424556
73,3181.46,0.58746,0.25658,0.91375,0.99974,1,0.995,0.88333,0.56601,0.20793,0.79944,0.000410409,0.000410409,0.000410409
74,3220.05,0.58651,0.2564,0.90976,0.99974,1,0.995,0.88366,0.56888,0.21585,0.80065,0.000396262,0.000396262,0.000396262
75,3257.59,0.58855,0.25477,0.91561,0.9998,1,0.995,0.8819,0.57047,0.21047,0.80064,0.000382115,0.000382115,0.000382115
76,3296.56,0.57928,0.24949,0.91141,1,1,0.995,0.88834,0.56989,0.20642,0.80368,0.000367967,0.000367967,0.000367967
